status,Short name,Next,Parent,Contest ID,Full name,Date,Location,Venue,Web,Scoreboard,Frozen SB,Standings,Rankings,ICPC standings,Any
,wf-1994,wf-1995,-,pre-cms,,1994-03-09,"Phoenix, AZ, USA",,https://icpc.global/community/history-icpc-1994,,,"https://usenetarchives.com/view.php?id=comp.org.acm&mid=PG1ja2luLTExMDM5NDE2MDE1N0BybTMzNTRhMi5jcy5ieXUuZWR1Pg, https://web.archive.org/web/20001004032126id_/http://plg.uwaterloo.ca/~gvcormac/acmresults/1994.html",https://web.archive.org/web/20020327070938/http://icpc.baylor.edu/Past/icpc94/finals/Standings.html,https://icpc.global/community/results-1994,Yes
,wf-1993,wf-1994,-,pre-cms,,1993-02-17,"Indianapolis, IN, USA",,https://icpc.global/community/history-icpc-1993,,,,https://web.archive.org/web/20020327070135/http://icpc.baylor.edu/Past/icpc93/finals/Standings.html,https://icpc.global/community/results-1993,Yes
,wf-1992,wf-1993,-,pre-cms,,,"Kansas City, MO, USA",,https://icpc.global/community/history-icpc-1992,https://usenetarchives.com/view.php?id=comp.org.acm&mid=PDE5OTJNYXIxOS4xNzAwNTUuMjMyOEBtYWMuY2MubWFjYWxzdHIuZWR1Pg,,,https://web.archive.org/web/20020326203520/http://icpc.baylor.edu/Past/icpc92/finals/Standings.html,https://icpc.global/community/history-icpc-1992,Yes
,wf-1991,wf-1992,-,pre-cms,,1991-03-06,"San Antonio, TX, USA",,https://usenetarchives.com/view.php?id=comp.org.acm&mid=PDEyMjMyOUB0dXQuY2lzLm9oaW8tc3RhdGUuZWR1Pg,,,https://web.archive.org/web/20110102181045/http://icpc.baylor.edu/past/icpc91/finals/Standings.html,https://web.archive.org/web/20020326204232/http://icpc.baylor.edu/Past/icpc91/finals/Standings.html,https://icpc.global/community/history-icpc-1991,Yes
,wf-1990,wf-1991,-,pre-cms,,,"Washington, DC, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,https://web.archive.org/web/20020326204232/http://icpc.baylor.edu:80/Past/icpc91/finals/Standings.html,https://icpc.global/community/history-icpc-1990,Yes
,wf-1989,wf-1990,-,pre-cms,,,"Louisville, KY, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1988,wf-1989,-,pre-cms,12th Annual ACM Scholastic Programming Contest ,1988-02-24,"Atlanta, GA, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1987,wf-1988,-,pre-cms,,,"St. Louis, MO, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1986,wf-1987,-,pre-cms,,,"Cincinatti, OH, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1985,wf-1986,-,pre-cms,,,"New Orleans, LA, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1984,wf-1985,-,pre-cms,,,"Philadelphia, PA, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1983,wf-1984,-,pre-cms,,,"Melbourne, FL, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1982,wf-1983,-,pre-cms,,,"Indianapolis, IN, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1981,wf-1982,-,pre-cms,,,"St. Louis, MO, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1980,wf-1981,-,pre-cms,,,"Kansas City, MO, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1979,wf-1980,-,pre-cms,,,"Dayton, OH, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1978,wf-1979,-,pre-cms,,1978-02-22,"Detroid, MI, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
,wf-1977,wf-1978,-,pre-cms,,1977-02-02,"Atlanta, GA, USA",,https://web.archive.org/web/20110102183612fw_/http://icpc.baylor.edu/past/EarlyYears.html,,,,,,
future,euc-2027,-,wf-2027,9564,2027 ICPC Europe Championship,2027-02-14,,,,,,,,,
